 % Simple dark flight model for the fireball: IT20000000
 % Hypothesis: no Earth rotation; no winds; exponential atmosphere COESA 1976 model. 
 % Input data from atmospheric dynamical model. 
    
 INPUT DATA 
    
 % Drag coefficient (adimensional):                          0.58 
 % M/S for dark flight (kg/m^2):                           224.99 
 % Drag*S/M for dark flight (m^2/kg):                    0.002578 
 % Start height dark flight (km):                           23.25 
 % Start velocity dark flight (km/s):                        3.04 
 % Start acceleration dark flight (km/s^2):                 -1.24 
    
 RESULTS 
    
 % Horizontal length dark flight (km):                      10.16 
 % Flight time (s):                                        213.00 
 % Geographical Latitude strewn field (degree):           45.3293  
 % Geographical Longitude strewn field (degree):          12.0667 
    
% quota (km)     Vx (km/s)       Vy (km/s)      V (km/s)        Lx (km)     tempo di caduta (s)
    
    11.971 	      0.004 	     -0.115 	      0.115 		      10.12 	      59.00 
    11.913 	      0.004 	     -0.115 	      0.115 		      10.12 	      59.50 
    11.856 	      0.004 	     -0.115 	      0.115 		      10.12 	      60.00 
    11.799 	      0.004 	     -0.114 	      0.114 		      10.13 	      60.50 
    11.742 	      0.004 	     -0.114 	      0.114 		      10.13 	      61.00 
    11.685 	      0.003 	     -0.113 	      0.113 		      10.13 	      61.50 
    11.628 	      0.003 	     -0.113 	      0.113 		      10.13 	      62.00 
    11.572 	      0.003 	     -0.113 	      0.113 		      10.13 	      62.50 
    11.516 	      0.003 	     -0.112 	      0.112 		      10.13 	      63.00 
    11.460 	      0.003 	     -0.112 	      0.112 		      10.14 	      63.50 
    11.404 	      0.003 	     -0.111 	      0.111 		      10.14 	      64.00 
    11.348 	      0.003 	     -0.111 	      0.111 		      10.14 	      64.50 
    11.293 	      0.002 	     -0.111 	      0.111 		      10.14 	      65.00 
    11.238 	      0.002 	     -0.110 	      0.110 		      10.14 	      65.50 
    11.183 	      0.002 	     -0.110 	      0.110 		      10.14 	      66.00 
    11.128 	      0.002 	     -0.109 	      0.109 		      10.14 	      66.50 
    11.073 	      0.002 	     -0.109 	      0.109 		      10.14 	      67.00 
    11.019 	      0.002 	     -0.109 	      0.109 		      10.14 	      67.50 
    10.965 	      0.002 	     -0.108 	      0.108 		      10.15 	      68.00 
    10.911 	      0.002 	     -0.108 	      0.108 		      10.15 	      68.50 
    10.857 	      0.002 	     -0.108 	      0.108 		      10.15 	      69.00 
    10.803 	      0.002 	     -0.107 	      0.107 		      10.15 	      69.50 
